TUBE.ID,PLOT.ID,MONTH,TREATMENT,TOT.COTTON.LOSS,DAMAGE.SCORE
PSU-SGL103-P3-B7,P3,APRIL,6D,4.53,
PSU-SGL103-P3-B8,P3,APRIL,6D,0.05,3
PSU-SGL103-P3-B9,P3,APRIL,6D,0.09,3
PSU-SGL103-P3-B10,P3,APRIL,6D,0.04,2
PSU-SGL103-P3-B11,P3,APRIL,6D,0.15,2
PSU-SGL103-P3-B12,P3,APRIL,6D,0.06,2
PSU-SGL103-P5-A1,P5,APRIL,2D,2.08,2
PSU-SGL103-P5-A2,P5,APRIL,2D,1.48,1
PSU-SGL103-P5-A3,P5,APRIL,2D,4.39,1
PSU-SGL103-P5-A4,P5,APRIL,2D,1.78,2
PSU-SGL103-P5-A5,P5,APRIL,2D,0.79,2
PSU-SGL103-P5-A6,P5,APRIL,2D,4.4,3
PSU-SGL103-P5-A7,P5,APRIL,2D,1.63,2
PSU-SGL103-P5-A8,P5,APRIL,2D,3.72,1
PSU-SGL103-P5-A9,P5,APRIL,2D,1.93,2
PSU-SGL103-P5-A10,P5,APRIL,2D,4.29,4
PSU-SGL103-P5-A11,P5,APRIL,2D,4.36,5
PSU-SGL103-P5-A12,P5,APRIL,2D,3.17,3
PSU-SGL103-P5-B1,P5,APRIL,2D,1.05,1
PSU-SGL103-P5-B2,P5,APRIL,2D,4.51,2
PSU-SGL103-P5-B3,P5,APRIL,2D,4.37,2
PSU-SGL103-P5-B4,P5,APRIL,2D,2.99,1
PSU-SGL103-P5-B5,P5,APRIL,2D,1.58,2
PSU-SGL103-P5-B6,P5,APRIL,2D,0.87,3
PSU-SGL103-P5-B7,P5,APRIL,2D,4.4,2
PSU-SGL103-P5-B8,P5,APRIL,2D,2.01,1
PSU-SGL103-P5-B9,P5,APRIL,2D,0.85,2
PSU-SGL103-P5-B10,P5,APRIL,2D,0.91,2
PSU-SGL103-P5-B11,P5,APRIL,2D,4.46,
PSU-SGL103-P5-B12,P5,APRIL,2D,4.37,5
PSU-SGL103-P6-A1,P6,APRIL,6D,4.46,5
PSU-SGL103-P6-A2,P6,APRIL,6D,0.18,4
PSU-SGL103-P6-A3,P6,APRIL,6D,0.8,3
PSU-SGL103-P6-A4,P6,APRIL,6D,1.07,5
PSU-SGL103-P6-A5,P6,APRIL,6D,0.54,3
PSU-SGL103-P6-A6,P6,APRIL,6D,0.07,4
PSU-SGL103-P6-A7,P6,APRIL,6D,-0.06,3
PSU-SGL103-P6-A8,P6,APRIL,6D,4.49,
PSU-SGL103-P6-A9,P6,APRIL,6D,0.21,3
PSU-SGL103-P6-A10,P6,APRIL,6D,0.25,3
PSU-SGL103-P6-A11,P6,APRIL,6D,0.66,5
PSU-SGL103-P6-A12,P6,APRIL,6D,0.16,4
PSU-SGL103-P6-B1,P6,APRIL,6D,0.35,5
PSU-SGL103-P6-B2,P6,APRIL,6D,0.22,3
PSU-SGL103-P6-B3,P6,APRIL,6D,1.11,4
PSU-SGL103-P6-B4,P6,APRIL,6D,0.2,5
PSU-SGL103-P6-B5,P6,APRIL,6D,0.47,5
PSU-SGL103-P6-B6,P6,APRIL,6D,0.59,4
PSU-SGL103-P6-B7,P6,APRIL,6D,0.8,5
PSU-SGL103-P6-B8,P6,APRIL,6D,0.05,3
PSU-SGL103-P6-B9,P6,APRIL,6D,0.19,4
PSU-SGL103-P6-B10,P6,APRIL,6D,0.12,4
PSU-SGL103-P6-B11,P6,APRIL,6D,0.18,4
PSU-SGL103-P6-B12,P6,APRIL,6D,1.66,5
PSU-SGL103-P8-A1,P8,APRIL,2D,4.54,1
PSU-SGL103-P8-A2,P8,APRIL,2D,4.41,3
PSU-SGL103-P8-A3,P8,APRIL,2D,3.06,2
PSU-SGL103-P8-A4,P8,APRIL,2D,4.6,2
PSU-SGL103-P8-A5,P8,APRIL,2D,0.57,2
PSU-SGL103-P8-A6,P8,APRIL,2D,0.63,2
PSU-SGL103-P8-A7,P8,APRIL,2D,0.36,2
PSU-SGL103-P8-A8,P8,APRIL,2D,0.76,1
PSU-SGL103-P8-A9,P8,APRIL,2D,1.38,1
PSU-SGL103-P8-A10,P8,APRIL,2D,4.5,1
PSU-SGL103-P8-A11,P8,APRIL,2D,2.37,2
PSU-SGL103-P8-A12,P8,APRIL,2D,4.47,2
PSU-SGL103-P8-B1,P8,APRIL,2D,4.33,3
PSU-SGL103-P8-B2,P8,APRIL,2D,4.44,
PSU-SGL103-P8-B3,P8,APRIL,2D,1.09,3
PSU-SGL103-P8-B4,P8,APRIL,2D,4.43,2
PSU-SGL103-P8-B5,P8,APRIL,2D,4.68,
PSU-SGL103-P8-B6,P8,APRIL,2D,3.24,3
PSU-SGL103-P8-B7,P8,APRIL,2D,4.41,4
PSU-SGL103-P8-B8,P8,APRIL,2D,4.43,
PSU-SGL103-P8-B9,P8,APRIL,2D,4.46,
PSU-SGL103-P8-B10,P8,APRIL,2D,4.46,
PSU-SGL103-P8-B11,P8,APRIL,2D,4.49,3
PSU-SGL103-P8-B12,P8,APRIL,2D,4.48,4
PSU-SGL103-P9-A1,P9,APRIL,6D,0.76,1
PSU-SGL103-P9-A2,P9,APRIL,6D,1.67,2
PSU-SGL103-P9-A3,P9,APRIL,6D,2.77,1
PSU-SGL103-P9-A4,P9,APRIL,6D,0.19,1
PSU-SGL103-P9-A5,P9,APRIL,6D,3.5,1
PSU-SGL103-P9-A6,P9,APRIL,6D,4.46,1
PSU-SGL103-P9-A7,P9,APRIL,6D,4.28,1
PSU-SGL103-P9-A8,P9,APRIL,6D,1.69,1
PSU-SGL103-P9-A9,P9,APRIL,6D,0.12,1
PSU-SGL103-P9-A10,P9,APRIL,6D,0.47,1
PSU-SGL103-P9-A11,P9,APRIL,6D,2.75,1
PSU-SGL103-P9-A12,P9,APRIL,6D,3.51,1
PSU-SGL103-P9-B1,P9,APRIL,6D,3.21,2
PSU-SGL103-P9-B2,P9,APRIL,6D,2.85,1
PSU-SGL103-P9-B3,P9,APRIL,6D,1.09,1
PSU-SGL103-P9-B4,P9,APRIL,6D,0.99,1
PSU-SGL103-P9-B5,P9,APRIL,6D,0.96,1
PSU-SGL103-P9-B6,P9,APRIL,6D,0.89,1
PSU-SGL103-P9-B7,P9,APRIL,6D,1.67,1
PSU-SGL103-P9-B8,P9,APRIL,6D,0.46,1
PSU-SGL103-P9-B9,P9,APRIL,6D,0.14,1
PSU-SGL103-P9-B10,P9,APRIL,6D,0.43,1
PSU-SGL103-P9-B11,P9,APRIL,6D,0.13,1
PSU-SGL103-P9-B12,P9,APRIL,6D,0.7,1
PSU-SGL176-P2-A1,P2,APRIL,2D,4.44,
PSU-SGL176-P2-A2,P2,APRIL,2D,4.46,1
PSU-SGL176-P2-A3,P2,APRIL,2D,2.17,2
PSU-SGL176-P2-A4,P2,APRIL,2D,3.07,1
PSU-SGL176-P2-A5,P2,APRIL,2D,2.03,2
PSU-SGL176-P2-A6,P2,APRIL,2D,0.96,2
PSU-SGL176-P2-A7,P2,APRIL,2D,0.7,3
PSU-SGL176-P2-A8,P2,APRIL,2D,4.34,2
PSU-SGL176-P2-A9,P2,APRIL,2D,2.19,1
PSU-SGL176-P2-A10,P2,APRIL,2D,1.44,1
PSU-SGL176-P2-A11,P2,APRIL,2D,0.79,1
PSU-SGL176-P2-A12,P2,APRIL,2D,0.65,3
PSU-SGL176-P2-B1,P2,APRIL,2D,4.53,3
PSU-SGL176-P2-B2,P2,APRIL,2D,4.47,2
PSU-SGL176-P2-B3,P2,APRIL,2D,4.43,1
PSU-SGL176-P2-B4,P2,APRIL,2D,4.45,1
PSU-SGL176-P2-B5,P2,APRIL,2D,3.62,1
PSU-SGL176-P2-B6,P2,APRIL,2D,1.83,2
PSU-SGL176-P2-B7,P2,APRIL,2D,2.9,2
PSU-SGL176-P2-B8,P2,APRIL,2D,4.34,3
PSU-SGL176-P2-B9,P2,APRIL,2D,4.31,1
PSU-SGL176-P2-B10,P2,APRIL,2D,1.28,2
PSU-SGL176-P2-B11,P2,APRIL,2D,0.63,2
PSU-SGL176-P2-B12,P2,APRIL,2D,4.08,2
PSU-SGL176-P3-A1,P3,APRIL,6D,0.05,1
PSU-SGL176-P3-A2,P3,APRIL,6D,0.02,1
PSU-SGL176-P3-A3,P3,APRIL,6D,0.12,1
PSU-SGL176-P3-A4,P3,APRIL,6D,0.09,1
PSU-SGL176-P3-A5,P3,APRIL,6D,0.06,1
PSU-SGL176-P3-A6,P3,APRIL,6D,0.08,1
PSU-SGL176-P3-A7,P3,APRIL,6D,0.06,1
PSU-SGL176-P3-A8,P3,APRIL,6D,0.11,1
PSU-SGL176-P3-A9,P3,APRIL,6D,0.16,1
PSU-SGL176-P3-A10,P3,APRIL,6D,4.4,
PSU-SGL176-P3-A11,P3,APRIL,6D,-0.19,1
PSU-SGL176-P3-A12,P3,APRIL,6D,0.16,1
PSU-SGL176-P3-B1,P3,APRIL,6D,0.02,1
PSU-SGL176-P3-B2,P3,APRIL,6D,0.18,1
PSU-SGL176-P3-B3,P3,APRIL,6D,-0.04,1
PSU-SGL176-P3-B4,P3,APRIL,6D,0.04,1
PSU-SGL176-P3-B5,P3,APRIL,6D,2.27,1
PSU-SGL176-P3-B6,P3,APRIL,6D,-0.01,1
PSU-SGL176-P3-B7,P3,APRIL,6D,0.08,1
PSU-SGL176-P3-B8,P3,APRIL,6D,0,1
PSU-SGL176-P3-B9,P3,APRIL,6D,0.09,1
PSU-SGL176-P3-B10,P3,APRIL,6D,0.12,1
PSU-SGL176-P3-B11,P3,APRIL,6D,1.04,1
PSU-SGL176-P3-B12,P3,APRIL,6D,0.1,1
PSU-SGL176-P5-A1,P5,APRIL,2D,2.07,2
PSU-SGL176-P5-A2,P5,APRIL,2D,4.39,4
PSU-SGL176-P5-A3,P5,APRIL,2D,4.53,5
PSU-SGL176-P5-A4,P5,APRIL,2D,4.56,
PSU-SGL176-P5-A5,P5,APRIL,2D,4.39,4
PSU-SGL176-P5-A6,P5,APRIL,2D,3.33,2
PSU-SGL176-P5-A7,P5,APRIL,2D,4.42,4
PSU-SGL176-P5-A8,P5,APRIL,2D,4.31,1
PSU-SGL176-P5-A9,P5,APRIL,2D,4.42,
PSU-SGL176-P5-A10,P5,APRIL,2D,3.47,4
PSU-SGL176-P5-A11,P5,APRIL,2D,4.36,3
PSU-SGL176-P5-A12,P5,APRIL,2D,1.92,5
PSU-SGL176-P5-B1,P5,APRIL,2D,4.34,2
PSU-SGL176-P5-B2,P5,APRIL,2D,4.43,
PSU-SGL176-P5-B3,P5,APRIL,2D,4.36,
PSU-SGL176-P5-B4,P5,APRIL,2D,4.32,2
PSU-SGL176-P5-B5,P5,APRIL,2D,1.29,3
PSU-SGL176-P5-B6,P5,APRIL,2D,4.36,3
PSU-SGL176-P5-B7,P5,APRIL,2D,1.68,4
PSU-SGL176-P5-B8,P5,APRIL,2D,1.61,2
PSU-SGL176-P5-B9,P5,APRIL,2D,4.4,2
PSU-SGL176-P5-B10,P5,APRIL,2D,0.98,3
PSU-SGL176-P5-B11,P5,APRIL,2D,4.41,2
PSU-SGL176-P5-B12,P5,APRIL,2D,1.15,3
PSU-SGL176-P6-A1,P6,APRIL,6D,0.08,1
PSU-SGL176-P6-A2,P6,APRIL,6D,0.07,1
PSU-SGL176-P6-A3,P6,APRIL,6D,0.07,1
PSU-SGL176-P6-A4,P6,APRIL,6D,0.07,1
PSU-SGL176-P6-A5,P6,APRIL,6D,0.09,1
PSU-SGL176-P6-A6,P6,APRIL,6D,0.02,1
PSU-SGL176-P6-A7,P6,APRIL,6D,0.05,1
PSU-SGL176-P6-A8,P6,APRIL,6D,0.1,1
PSU-SGL176-P6-A9,P6,APRIL,6D,0.08,1
PSU-SGL176-P6-A10,P6,APRIL,6D,0.46,1
PSU-SGL176-P6-A11,P6,APRIL,6D,0.38,1
PSU-SGL176-P6-A12,P6,APRIL,6D,2.36,1
PSU-SGL176-P6-B1,P6,APRIL,6D,0.08,2
PSU-SGL176-P6-B2,P6,APRIL,6D,0.12,1
PSU-SGL176-P6-B3,P6,APRIL,6D,0.07,1
PSU-SGL176-P6-B4,P6,APRIL,6D,0.35,1
PSU-SGL176-P6-B5,P6,APRIL,6D,-0.02,1
PSU-SGL176-P6-B6,P6,APRIL,6D,0.08,1
PSU-SGL176-P6-B7,P6,APRIL,6D,0.13,2
PSU-SGL176-P6-B8,P6,APRIL,6D,-0.01,1
PSU-SGL176-P6-B9,P6,APRIL,6D,0.56,2
PSU-SGL176-P6-B10,P6,APRIL,6D,0.12,1
